tree_id,node_id,is_leave,split_feature,threshold,children,correctPredictions,correctPredictionsClassesCounts,wrongPredictions
2,46,False,"Refractive Index",1.52,"47;50",34,"0;33;1;1","5;1;0;2;5;0;1;0;1;1;4;0;1"
2,47,False,"Refractive Index",1.52,"48;49",11,"1;1;0;10","3;0;1;1;1;0;1;4;0;1"
2,48,True,"","","",10,"0;10","2;1;0;1;4;0;1"
2,49,True,"","","",1,"1;1","1;0;1;1"
2,50,True,"","","",23,"0;23","2;1;0;1;5;0;1"
2,51,False,"Si Silicon",72.63,"52;53",4,"1;2;0;2","1;5;0;1"
2,52,True,"","","",2,"0;2","1;5;0;1"
2,53,True,"","","",2,"1;2","0"
2,54,True,"","","",2,"2;2","0"
2,55,False,"Na Sodium",13.30,"56;57",18,"4;5;5;2;3;1;0;2;2;8","3;2;0;1;0;2;2"
2,56,True,"","","",8,"2;8","2;0;2;2"
2,57,False,"Si Silicon",72.28,"58;63",10,"4;5;5;2;3;1;0;2","1;2;0;1"
2,58,False,"Mg Magnesium",2.77,"59;62",5,"5;2;3;1;0;2","1;2;0;1"
2,59,False,"K Potassium",0.64,"60;61",3,"3;1;0;2","1;2;0;1"
2,60,True,"","","",2,"0;2","1;2;0;1"
2,61,True,"","","",1,"3;1","0"
2,62,True,"","","",2,"5;2","0"
2,63,True,"","","",5,"4;5","0"
2,64,False,"Refractive Index",1.52,"65;68",26,"0;1;1;1;3;23;2;1","3;3;1;2;2;1"
2,65,False,"Si Silicon",71.35,"66;67",24,"3;23;2;1","1;3;2;1"
2,66,True,"","","",1,"2;1","1;3;2;1"
2,67,True,"","","",23,"3;23","0"
2,68,False,"K Potassium",0.35,"69;70",2,"0;1;1;1","2;3;1;2"
2,69,True,"","","",1,"1;1","2;3;1;2"
2,70,True,"","","",1,"0;1","0"
3,0,False,"Al Aluminum",1.75,"1;60",177,"3;24;2;7;0;62;5;15;1;65;4;4","37;0;3;1;1;11;4;2;4;3;1;0;3;1;1;3;2;3;1;2;5;0;1;1;1;2;0;6;1;0;3;5;2"
3,1,False,"Mg Magnesium",3.24,"2;17",142,"5;15;1;65;0;55;3;1;2;2;4;4","29;0;1;11;4;2;1;0;3;5;2;5;1;1;2;0;4;4;0;3;1;1;3;1;2"
3,2,False,"Ca Calcium",11.37,"3;14",25,"2;2;0;15;4;4;1;4","14;2;0;4;0;4;2;1;2;4;0;3;1;1;3;1;2"
3,3,False,"Al Aluminum",1.32,"4;9",16,"4;4;0;8;1;4","11;0;4;2;1;2;2;0;1;4;0;3;1;1;3;1;2"
3,4,False,"Ca Calcium",9.42,"5;6",7,"0;1;4;2;1;4","6;0;4;1;1;2;4;1;1;3;1;2"
3,5,True,"","","",4,"1;4","5;0;1;2;4;1;1;3;1;2"
3,6,False,"Si Silicon",73.97,"7;8",3,"0;1;4;2","1;0;4;1"
3,7,True,"","","",2,"4;2","1;0;4;1"
3,8,True,"","","",1,"0;1","0"
3,9,False,"Si Silicon",73.91,"10;13",9,"4;2;0;7","5;0;4;1;2;0;1;4;0;3"
3,10,False,"Al Aluminum",1.70,"11;12",8,"4;1;0;7","5;0;4;1;2;0;1;4;0;3"
